Year,Input,Gerd_storage,Gerd_release,Roseires_storage,Roseires_release,Sennar_storage,Sennar_release,Had_storage,Had_release,Gerd_production
117,[2235.95838519 3852.89015776  121.5447469  9698.78826708],1225251250.2510636,1819.2033324153435,1292760332.75094,1695.9928736681475,7366268.907413982,1675.8154066859522,36842584153.61866,2676.428845532598,454285.9879452328
118,[ 431.59911951 3564.57245479 5277.01109086 9929.64796119],1068578800.3026651,431.5991195057613,28499867.26266416,1024.5846707182043,4115966.27616976,936.7005413010448,36453381576.7892,2956.8679481159934,100748.72151390175
119,[ 737.96564735 2215.41713761 9693.02535619 5230.9784417 ],259925563.08290324,492.8489392263067,28578962.126171794,565.7267275375159,2302419.92863266,523.9541532461622,34825773105.51706,2215.417137605283,86945.27211594163
120,[6293.98638135 2782.99475594 4545.41064768 6275.58080084],118044732.14840202,160.49981221289573,27491038.84366891,176.34978319797,605867.1049609821,138.3302238882013,30862260671.15838,2656.7969082661816,26106.97672832187
121,[5843.14311923 3604.63204196  454.46380341 2809.63189592],72853717.73645811,87.10193272029885,27265126.971362926,95.09074576840108,215347.32215877343,49.10393737684988,27292921682.16635,2368.4717389318853,12452.310126709614
122,[9504.11484077 3561.05513556 4556.56752786 6201.32597802],53500718.37434685,59.28873361551957,27203472.69756093,72.92910629188704,219142.35798624164,49.803665049579806,23455739708.349987,2081.5722753469836,9272.991396501046
123,[2773.81182981  752.4846389  4636.9840494  3533.52228026],51462127.991023615,52.08265236291744,27209714.881798375,75.14031038509805,241342.76345854817,54.84206670245742,23191938479.823647,752.4846388950454,7873.199874842161
124,[5836.56111851  310.93854786 9743.94807666 9862.1074448 ],81313549.72883186,72.37737066851805,27266179.46766903,95.35340406616774,277326.00465013785,63.01520751076675,25035766894.693672,310.9385478599393,11515.236884281036
125,[6981.6171402  2144.38546538 3095.27616286 8137.95019707],240007775.90445477,191.62303422904702,27859975.319388576,307.9077659891549,1015161.5627279768,230.43392162957664,22190056944.30679,1946.9270517007803,32356.398418717985
126,[6847.31172554  650.46775738 9109.27184494 8225.37242923],953685788.0632514,739.7059998527182,29800317.37882574,1002.6543282460849,3983146.4061580524,904.1523686340731,22057912807.398426,650.4677573795653,173812.7977850706
127,[9497.99913292 2902.87803355 6134.15195936 4182.43036291],2102029521.1367857,1731.195493860071,33837334.27400437,2448.3707906388163,10360930.70197349,2352.37570983327,22348571816.606937,1842.3570015858409,517101.2926157648
128,[9327.28483354 3464.255558    452.18670106  263.66974497],1728607436.41353,1841.139266710046,1302011153.3963618,2103.988340509538,179379884.86776912,1986.548138639867,32062245824.313244,2241.241033575675,493616.88788693387
129,[3764.63366878 3242.21332313 9872.76129315 1504.16891104],982474459.7020718,1205.9477523751968,31735892.227356307,2170.9196262707123,189181389.28120592,2142.0975723329116,38160276940.27218,2847.475477594438,285252.7824548843
130,[5941.30715352 1523.56342652 9699.14397815 8421.18923136],418437455.84257406,590.2409732964688,28907635.35642481,684.6139359023364,2620528.1565037603,667.5033358891884,44200266846.55782,1523.5634265240858,109544.29383702096
